dataset,backend,N,seed,attack,policy,gate_bypass_rate,gate_bypass_n,gate_bypass_ub95,semantic_far,conditional_unsafe,accept_rate,mean_set_size,singleton_frac,coverage,top1_acc
nslkdd,ML-DSA-65,128,0,A1_replay,raw,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A1_replay,semantic,0.0,2176,0.0013786764705882354,0.208185,0.230444,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A1_replay,signed,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A1_replay,pcsp,0.0,2176,0.0013786764705882354,0.208185,0.230444,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A2_model_sub,raw,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A2_model_sub,semantic,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A2_model_sub,signed,0.0,2176,0.0013786764705882354,0.209339,0.231722,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A2_model_sub,pcsp,0.0,2176,0.0013786764705882354,0.209339,0.231722,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,raw,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,semantic,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,signed,0.0,2176,0.0013786764705882354,0.20783,0.230051,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A3_evidence_mismatch,pcsp,0.0,2176,0.0013786764705882354,0.20783,0.230051,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A4_epoch_rollback,raw,1.0,2176,,0.230424,0.230424,1.0,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A4_epoch_rollback,semantic,0.0,2176,0.0013786764705882354,0.207741,0.229953,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A4_epoch_rollback,signed,0.0,2176,0.0013786764705882354,0.207741,0.229953,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,0,A4_epoch_rollback,pcsp,0.0,2176,0.0013786764705882354,0.207741,0.229953,0.903409,3.211,0.1152,0.9934,0.7697
nslkdd,ML-DSA-65,128,1,A1_replay,raw,1.0,2176,,0.230291,0.230291,1.0,3.229,0.1219,0.9985,0.7698
nslkdd,ML-DSA-65,128,1,A1_replay,semantic,0.0,2176,0.0013786764705882354,0.209073,0.231427,0.903409,3.229,0.1219,0.9985,0.7698
nslkdd,ML-DSA-65,128,1,A1_replay,signed,1.0,2176,,0.230291,0.230291,1.0,3.229,0.1219,0.9985,0.7698
nslkdd,ML-DSA-65,128,1,A1_replay,pcsp,0.0,2176,0.0013786764705882354,0.209073,0.231427,0.903409,3.229,0.1219,0.9985,0.7698
nslkdd,ML-DSA-65,128,1,A2_model_sub,raw,1.0,2176,,0.230291,0.230291,1.0,3.229,0.1219,0.9985,0.7698
