dataset,backend,seed,t_keygen_ms,t_sign_ms,t_verify_ms,bytes_per_claim,sig_bytes,pk_bytes
nslkdd,ML-DSA-65,0,4.79,68.159,5.043,69.46,3309,1952
nslkdd,ML-DSA-65,1,4.357,17.615,5.039,69.52,3309,1952
nslkdd,ML-DSA-65,2,4.53,10.198,4.932,69.49,3309,1952
nslkdd,SLH-DSA-SHA2-128s,0,96.564,737.501,0.718,104.98,7856,32
nslkdd,SLH-DSA-SHA2-128s,1,98.811,730.869,0.708,105.05,7856,32
nslkdd,SLH-DSA-SHA2-128s,2,104.964,730.836,0.718,105.02,7856,32
cicids,ML-DSA-65,0,4.486,18.839,5.273,70.09,3309,1952
cicids,ML-DSA-65,1,4.419,33.432,5.167,70.48,3309,1952
cicids,ML-DSA-65,2,4.54,22.94,5.063,70.85,3309,1952
cicids,SLH-DSA-SHA2-128s,0,97.72,740.999,0.767,105.62,7856,32
cicids,SLH-DSA-SHA2-128s,1,98.628,746.444,0.783,106.0,7856,32
cicids,SLH-DSA-SHA2-128s,2,97.786,752.031,0.744,106.38,7856,32
